	Gene1	Gene2	dist	strand	pred
150	KVP08_001165	KVP08_001170	32	1	True
151	KVP08_001170	KVP08_001175	25	1	True
152	KVP08_001175	KVP08_001180	41	1	True
153	KVP08_001185	KVP08_001190	115	-1	False
154	KVP08_001190	KVP08_001195	-3	-1	True
155	KVP08_001195	KVP08_001200	0	-1	True
156	KVP08_001200	KVP08_001205	2	-1	True
157	KVP08_001205	KVP08_001210	12	-1	True
158	KVP08_001225	KVP08_001230	12	1	True
159	KVP08_001230	KVP08_001235	-3	1	True
160	KVP08_001235	KVP08_001240	-3	1	True
161	KVP08_001240	KVP08_001260	5748	1	False
162	KVP08_001265	KVP08_001270	0	-1	True
163	KVP08_001275	KVP08_001280	32	1	True
164	KVP08_001280	KVP08_001285	13	1	True
165	KVP08_001285	KVP08_001290	61	1	True
166	KVP08_001290	KVP08_001295	84	1	True
167	KVP08_001305	KVP08_001310	-12	1	True
168	KVP08_001310	KVP08_001315	-3	1	True
169	KVP08_001315	KVP08_001320	0	1	True
170	KVP08_001320	KVP08_001325	22	1	True
171	KVP08_001325	KVP08_001330	220	1	False
172	KVP08_001330	KVP08_001335	6	1	True
173	KVP08_001335	KVP08_001340	19	1	True
174	KVP08_001340	KVP08_001345	49	1	True
175	KVP08_001350	KVP08_001355	0	-1	True
176	KVP08_001360	KVP08_001365	0	1	True
177	KVP08_001365	KVP08_001370	37	1	True
178	KVP08_001385	KVP08_001390	-3	-1	True
179	KVP08_001390	KVP08_001395	107	-1	False
180	KVP08_001395	KVP08_001400	-3	-1	True
181	KVP08_001415	KVP08_001420	133	-1	False
182	KVP08_001420	KVP08_001425	176	-1	False
183	KVP08_001430	KVP08_001435	213	1	False
184	KVP08_001440	KVP08_001445	125	-1	False
185	KVP08_001445	KVP08_001450	86	-1	True
186	KVP08_001450	KVP08_001455	312	-1	False
187	KVP08_001460	KVP08_001465	18	1	True
188	KVP08_001465	KVP08_001470	32	1	True
189	KVP08_001470	KVP08_001475	179	1	False
190	KVP08_001475	KVP08_001480	2	1	True
191	KVP08_001480	KVP08_001485	75	1	True
192	KVP08_001490	KVP08_001495	139	-1	False
193	KVP08_001495	KVP08_001500	56	-1	True
194	KVP08_001500	KVP08_001505	105	-1	False
195	KVP08_001510	KVP08_001515	218	1	False
196	KVP08_001515	KVP08_001520	12	1	True
197	KVP08_001520	KVP08_001525	0	1	True
198	KVP08_001525	KVP08_001530	11	1	True
199	KVP08_001530	KVP08_001535	128	1	False
200	KVP08_001535	KVP08_001540	463	1	False
201	KVP08_001550	KVP08_001555	57	1	True
202	KVP08_001560	KVP08_001565	18	-1	True
203	KVP08_001570	KVP08_001575	157	1	False
204	KVP08_001580	KVP08_001585	280	-1	False
205	KVP08_001585	KVP08_001590	114	-1	False
206	KVP08_001590	KVP08_001595	139	-1	False
207	KVP08_001595	KVP08_001600	234	-1	False
208	KVP08_001600	KVP08_001605	67	-1	True
209	KVP08_001615	KVP08_001620	8	-1	True
210	KVP08_001620	KVP08_001625	101	-1	False
211	KVP08_001635	KVP08_001640	0	-1	True
212	KVP08_001640	KVP08_001645	84	-1	True
213	KVP08_001645	KVP08_001650	179	-1	False
214	KVP08_001650	KVP08_001655	171	-1	False
215	KVP08_001655	KVP08_001660	233	-1	False
216	KVP08_001660	KVP08_001665	23	-1	True
217	KVP08_001665	KVP08_001670	44	-1	True
218	KVP08_001670	KVP08_001675	59	-1	True
219	KVP08_001680	KVP08_001685	146	1	False
220	KVP08_001685	KVP08_001690	-7	1	True
221	KVP08_001690	KVP08_001695	116	1	False
222	KVP08_001705	KVP08_001710	161	1	False
223	KVP08_001710	KVP08_001715	-3	1	True
224	KVP08_001720	KVP08_001725	104	-1	False
225	KVP08_001730	KVP08_001735	23	1	True
226	KVP08_001735	KVP08_001740	177	1	False
227	KVP08_001750	KVP08_001755	96	1	False
228	KVP08_001760	KVP08_001765	534	-1	False
229	KVP08_001765	KVP08_001770	136	-1	False
230	KVP08_001770	KVP08_001775	31	-1	True
231	KVP08_001775	KVP08_001780	1	-1	True
232	KVP08_001785	KVP08_001790	123	1	False
233	KVP08_001790	KVP08_001795	7	1	True
234	KVP08_001795	KVP08_001800	323	1	False
235	KVP08_001800	KVP08_001805	104	1	False
236	KVP08_001810	KVP08_001815	216	-1	False
237	KVP08_001830	KVP08_001835	52	1	True
238	KVP08_001835	KVP08_001840	0	1	True
239	KVP08_001840	KVP08_001845	25	1	True
240	KVP08_001845	KVP08_001850	529	1	False
241	KVP08_001850	KVP08_001855	184	1	False
242	KVP08_001860	KVP08_001865	96	-1	False
243	KVP08_001865	KVP08_001870	-3	-1	True
244	KVP08_001875	KVP08_001880	31	1	True
245	KVP08_001880	KVP08_001885	13	1	True
246	KVP08_001885	KVP08_001890	14	1	True
247	KVP08_001890	KVP08_001895	-3	1	True
248	KVP08_001895	KVP08_001900	-3	1	True
249	KVP08_001900	KVP08_001905	1	1	True
250	KVP08_001905	KVP08_001910	7	1	True
251	KVP08_001910	KVP08_001915	-10	1	True
252	KVP08_001915	KVP08_001920	0	1	True
253	KVP08_001920	KVP08_001925	3	1	True
254	KVP08_001925	KVP08_001930	152	1	False
255	KVP08_001930	KVP08_001935	-19	1	True
256	KVP08_001935	KVP08_001940	28	1	True
257	KVP08_001940	KVP08_001945	181	1	False
258	KVP08_001955	KVP08_001960	61	1	True
259	KVP08_001960	KVP08_002000	6942	1	False
260	KVP08_002020	KVP08_002025	10	-1	True
261	KVP08_002025	KVP08_002030	-7	-1	True
262	KVP08_002030	KVP08_002035	0	-1	True
263	KVP08_002035	KVP08_002040	45	-1	True
264	KVP08_002040	KVP08_002045	4	-1	True
265	KVP08_002045	KVP08_002050	7	-1	True
266	KVP08_002050	KVP08_002055	60	-1	True
267	KVP08_002055	KVP08_002060	-3	-1	True
268	KVP08_002060	KVP08_002065	0	-1	True
269	KVP08_002065	KVP08_002070	242	-1	False
270	KVP08_002070	KVP08_002075	131	-1	False
271	KVP08_002080	KVP08_002085	355	1	False
272	KVP08_002085	KVP08_002090	74	1	True
273	KVP08_002090	KVP08_002095	141	1	False
274	KVP08_002100	KVP08_002105	93	-1	False
275	KVP08_002105	KVP08_002110	172	-1	False
276	KVP08_002110	KVP08_002115	144	-1	False
277	KVP08_002115	KVP08_002120	128	-1	False
278	KVP08_002125	KVP08_002130	144	1	False
279	KVP08_002130	KVP08_002135	53	1	True
280	KVP08_002135	KVP08_002140	148	1	False
281	KVP08_002150	KVP08_002155	-7	1	True
282	KVP08_002155	KVP08_002160	-3	1	True
283	KVP08_002160	KVP08_002165	31	1	True
284	KVP08_002170	KVP08_002175	27	-1	True
285	KVP08_002175	KVP08_002180	505	-1	False
286	KVP08_002180	KVP08_002185	711	-1	False
287	KVP08_002185	KVP08_002190	346	-1	False
288	KVP08_002190	KVP08_002195	146	-1	False
289	KVP08_002195	KVP08_002200	19	-1	True
290	KVP08_002200	KVP08_002205	248	-1	False
291	KVP08_002205	KVP08_002210	244	-1	False
292	KVP08_002210	KVP08_002215	425	-1	False
293	KVP08_002230	KVP08_002235	0	1	True
294	KVP08_002235	KVP08_002240	-3	1	True
295	KVP08_002245	KVP08_002250	272	-1	False
296	KVP08_002250	KVP08_002255	48	-1	True
297	KVP08_002255	KVP08_002260	179	-1	False
298	KVP08_002260	KVP08_002265	499	-1	False
299	KVP08_002280	KVP08_002285	419	1	False
300	KVP08_002305	KVP08_002310	12	1	True
301	KVP08_002310	KVP08_002315	0	1	True
302	KVP08_002320	KVP08_002325	302	-1	False
303	KVP08_002325	KVP08_002330	4	-1	True
304	KVP08_002330	KVP08_002335	112	-1	False
305	KVP08_002340	KVP08_002345	166	1	False
306	KVP08_002345	KVP08_002350	512	1	False
307	KVP08_002350	KVP08_002355	214	1	False
308	KVP08_002355	KVP08_002360	239	1	False
309	KVP08_002360	KVP08_002365	-3	1	True
310	KVP08_002365	KVP08_002370	-3	1	True
311	KVP08_002370	KVP08_002375	-13	1	True
312	KVP08_002375	KVP08_002380	15	1	True
313	KVP08_002380	KVP08_002385	7	1	True
314	KVP08_002385	KVP08_002390	-3	1	True
315	KVP08_002390	KVP08_002395	-3	1	True
316	KVP08_002395	KVP08_002400	3	1	True
317	KVP08_002400	KVP08_002405	39	1	True
318	KVP08_002405	KVP08_002410	76	1	True
319	KVP08_002410	KVP08_002415	85	1	True
320	KVP08_002415	KVP08_002420	230	1	False
321	KVP08_002420	KVP08_002425	-10	1	True
322	KVP08_002425	KVP08_002430	0	1	True
323	KVP08_002430	KVP08_002435	-10	1	True
324	KVP08_002435	KVP08_002440	-7	1	True
325	KVP08_002440	KVP08_002445	343	1	False
326	KVP08_002445	KVP08_002450	45	1	True
327	KVP08_002450	KVP08_002455	0	1	True
328	KVP08_002455	KVP08_002460	3	1	True
329	KVP08_002460	KVP08_002465	178	1	False
330	KVP08_002465	KVP08_002470	0	1	True
331	KVP08_002470	KVP08_002475	-76	1	True
332	KVP08_002475	KVP08_002480	109	1	False
333	KVP08_002480	KVP08_002485	147	1	False
334	KVP08_002485	KVP08_002490	-10	1	True
335	KVP08_002490	KVP08_002495	90	1	True
336	KVP08_002495	KVP08_002500	2	1	True
337	KVP08_002500	KVP08_002505	169	1	False
338	KVP08_002520	KVP08_002525	31	-1	True
339	KVP08_002535	KVP08_002540	181	-1	False
340	KVP08_002555	KVP08_002560	271	1	False
341	KVP08_002565	KVP08_002570	637	-1	False
342	KVP08_002575	KVP08_002580	482	1	False
343	KVP08_002580	KVP08_002585	13	1	True
344	KVP08_002585	KVP08_002590	3	1	True
345	KVP08_002595	KVP08_002600	102	-1	False
346	KVP08_002605	KVP08_002610	12	1	True
347	KVP08_002610	KVP08_002615	304	1	False
348	KVP08_002615	KVP08_002620	372	1	False
349	KVP08_002620	KVP08_002625	9	1	True
350	KVP08_002625	KVP08_002630	17	1	True
351	KVP08_002630	KVP08_002635	188	1	False
352	KVP08_002635	KVP08_002640	11	1	True
353	KVP08_002640	KVP08_002645	698	1	False
354	KVP08_002645	KVP08_002650	111	1	False
355	KVP08_002650	KVP08_002655	906	1	False
356	KVP08_002660	KVP08_002665	157	-1	False
357	KVP08_002670	KVP08_002675	9	1	True
358	KVP08_002680	KVP08_002685	68	-1	True
359	KVP08_002685	KVP08_002690	169	-1	False
360	KVP08_002690	KVP08_002695	198	-1	False
361	KVP08_002695	KVP08_002700	84	-1	True
362	KVP08_002700	KVP08_002705	108	-1	False
363	KVP08_002710	KVP08_002715	108	1	False
364	KVP08_002715	KVP08_002720	177	1	False
365	KVP08_002720	KVP08_002725	-16	1	True
366	KVP08_002725	KVP08_002730	-7	1	True
367	KVP08_002730	KVP08_002735	0	1	True
368	KVP08_002735	KVP08_002740	81	1	True
369	KVP08_002740	KVP08_002745	-3	1	True
370	KVP08_002755	KVP08_002760	505	1	False
371	KVP08_002760	KVP08_002765	967	1	False
372	KVP08_002765	KVP08_002770	3	1	True
373	KVP08_002770	KVP08_002775	-3	1	True
374	KVP08_002775	KVP08_002780	481	1	False
375	KVP08_002780	KVP08_002785	160	1	False
376	KVP08_002785	KVP08_002790	430	1	False
377	KVP08_002790	KVP08_002795	47	1	True
378	KVP08_002795	KVP08_002800	138	1	False
379	KVP08_002800	KVP08_002805	337	1	False
380	KVP08_002805	KVP08_002810	418	1	False
381	KVP08_002810	KVP08_002815	-7	1	True
382	KVP08_002815	KVP08_002820	730	1	False
383	KVP08_002820	KVP08_002825	291	1	False
384	KVP08_002825	KVP08_002830	186	1	False
385	KVP08_002830	KVP08_002835	-25	1	True
386	KVP08_002835	KVP08_002840	455	1	False
387	KVP08_002850	KVP08_002855	114	1	False
388	KVP08_002855	KVP08_002860	163	1	False
389	KVP08_002860	KVP08_002865	323	1	False
390	KVP08_002870	KVP08_002875	126	-1	False
391	KVP08_002875	KVP08_002880	286	-1	False
392	KVP08_002880	KVP08_002885	153	-1	False
393	KVP08_002885	KVP08_002890	-3	-1	True
394	KVP08_002895	KVP08_002900	188	1	False
395	KVP08_002905	KVP08_002910	4	-1	True
396	KVP08_002925	KVP08_002930	58	1	True
397	KVP08_002935	KVP08_002940	13	-1	True
398	KVP08_002950	KVP08_002955	30	-1	True
399	KVP08_002955	KVP08_002960	82	-1	True
400	KVP08_002960	KVP08_002965	585	-1	False
401	KVP08_002985	KVP08_002990	156	-1	False
402	KVP08_002995	KVP08_003000	205	1	False
403	KVP08_003000	KVP08_003005	97	1	False
404	KVP08_003005	KVP08_003010	177	1	False
405	KVP08_003010	KVP08_003015	-3	1	True
406	KVP08_003020	KVP08_003025	102	-1	False
407	KVP08_003025	KVP08_003030	261	-1	False
408	KVP08_003040	KVP08_003045	186	-1	False
409	KVP08_003045	KVP08_003050	74	-1	True
410	KVP08_003050	KVP08_003055	242	-1	False
411	KVP08_003060	KVP08_003065	236	1	False
412	KVP08_003065	KVP08_003070	43	1	True
413	KVP08_003070	KVP08_003075	109	1	False
414	KVP08_003075	KVP08_003080	153	1	False
415	KVP08_003080	KVP08_003085	91	1	True
416	KVP08_003085	KVP08_003090	134	1	False
417	KVP08_003090	KVP08_003095	100	1	False
418	KVP08_003105	KVP08_003110	11	1	True
419	KVP08_003110	KVP08_003115	116	1	False
420	KVP08_003115	KVP08_003120	119	1	False
421	KVP08_003120	KVP08_003125	308	1	False
422	KVP08_003135	KVP08_003140	83	1	True
423	KVP08_003145	KVP08_003150	145	-1	False
424	KVP08_003150	KVP08_003155	12	-1	True
425	KVP08_003160	KVP08_003165	130	1	False
426	KVP08_003165	KVP08_003170	71	1	True
427	KVP08_003180	KVP08_003185	78	1	True
428	KVP08_003185	KVP08_003190	-3	1	True
429	KVP08_003190	KVP08_003195	140	1	False
430	KVP08_003195	KVP08_003200	207	1	False
431	KVP08_003235	KVP08_003245	303	-1	False
432	KVP08_003250	KVP08_003255	107	1	False
433	KVP08_003255	KVP08_003260	37	1	True
434	KVP08_003260	KVP08_003265	401	1	False
435	KVP08_003265	KVP08_003270	26	1	True
436	KVP08_003270	KVP08_003275	123	1	False
437	KVP08_003280	KVP08_003285	-3	-1	True
438	KVP08_003285	KVP08_003290	-15	-1	True
439	KVP08_003290	KVP08_003295	-3	-1	True
440	KVP08_003295	KVP08_003300	95	-1	False
441	KVP08_003300	KVP08_003305	364	-1	False
442	KVP08_003320	KVP08_003325	219	1	False
443	KVP08_003330	KVP08_003335	291	-1	False
444	KVP08_003335	KVP08_003340	0	-1	True
445	KVP08_003360	KVP08_003365	84	-1	True
446	KVP08_003370	KVP08_003375	333	1	False
447	KVP08_003390	KVP08_003395	169	-1	False
448	KVP08_003395	KVP08_003400	20	-1	True
449	KVP08_003405	KVP08_003410	4	1	True
450	KVP08_003410	KVP08_003415	247	1	False
451	KVP08_003415	KVP08_003420	465	1	False
452	KVP08_003420	KVP08_003425	282	1	False
453	KVP08_003440	KVP08_003445	10	-1	True
454	KVP08_003450	KVP08_003455	142	1	False
455	KVP08_003455	KVP08_003460	386	1	False
456	KVP08_003460	KVP08_003465	78	1	True
457	KVP08_003465	KVP08_003470	127	1	False
458	KVP08_003475	KVP08_003480	3	-1	True
459	KVP08_003490	KVP08_003495	131	-1	False
460	KVP08_003495	KVP08_003500	193	-1	False
461	KVP08_003505	KVP08_003510	-22	1	True
462	KVP08_003510	KVP08_003515	3	1	True
463	KVP08_003515	KVP08_003520	5	1	True
464	KVP08_003525	KVP08_003530	190	-1	False
465	KVP08_003530	KVP08_003535	240	-1	False
466	KVP08_003535	KVP08_003540	576	-1	False
467	KVP08_003540	KVP08_003545	8	-1	True
468	KVP08_003545	KVP08_003550	85	-1	True
469	KVP08_003550	KVP08_003555	115	-1	False
470	KVP08_003555	KVP08_003560	152	-1	False
471	KVP08_003560	KVP08_003565	9	-1	True
472	KVP08_003565	KVP08_003570	151	-1	False
473	KVP08_003570	KVP08_003575	188	-1	False
474	KVP08_003575	KVP08_003580	74	-1	True
475	KVP08_003580	KVP08_003585	107	-1	False
476	KVP08_003585	KVP08_003590	9	-1	True
477	KVP08_003590	KVP08_003595	127	-1	False
478	KVP08_003595	KVP08_003600	181	-1	False
479	KVP08_003615	KVP08_003620	191	1	False
480	KVP08_003620	KVP08_003625	450	1	False
481	KVP08_003640	KVP08_003645	-3	-1	True
482	KVP08_003645	KVP08_003650	-3	-1	True
483	KVP08_003650	KVP08_003655	52	-1	True
484	KVP08_003655	KVP08_003660	-3	-1	True
485	KVP08_003660	KVP08_003665	241	-1	False
486	KVP08_003665	KVP08_003670	16	-1	True
487	KVP08_003670	KVP08_003675	33	-1	True
488	KVP08_003675	KVP08_003680	-9	-1	True
489	KVP08_003680	KVP08_003685	2	-1	True
490	KVP08_003685	KVP08_003690	222	-1	False
491	KVP08_003690	KVP08_003695	-3	-1	True
492	KVP08_003695	KVP08_003700	5	-1	True
493	KVP08_003705	KVP08_003710	129	1	False
494	KVP08_003720	KVP08_003725	65	1	True
495	KVP08_003730	KVP08_003735	138	-1	False
496	KVP08_003740	KVP08_003745	368	1	False
497	KVP08_003750	KVP08_003755	16	-1	True
498	KVP08_003765	KVP08_003770	292	-1	False
499	KVP08_003770	KVP08_003775	77	-1	True
500	KVP08_003775	KVP08_003780	57	-1	True
501	KVP08_003780	KVP08_003785	0	-1	True
502	KVP08_003785	KVP08_003790	154	-1	False
503	KVP08_003790	KVP08_003795	139	-1	False
504	KVP08_003795	KVP08_003800	163	-1	False
505	KVP08_003805	KVP08_003810	204	1	False
506	KVP08_003815	KVP08_003820	89	-1	True
507	KVP08_003820	KVP08_003825	10	-1	True
508	KVP08_003830	KVP08_003835	47	1	True
509	KVP08_003835	KVP08_003840	13	1	True
510	KVP08_003845	KVP08_003850	36	-1	True
511	KVP08_003855	KVP08_003860	632	1	False
512	KVP08_003860	KVP08_003865	29	1	True
513	KVP08_003865	KVP08_003870	41	1	True
514	KVP08_003870	KVP08_003875	466	1	False
515	KVP08_003875	KVP08_003880	492	1	False
516	KVP08_003885	KVP08_003890	59	-1	True
517	KVP08_003890	KVP08_003895	201	-1	False
518	KVP08_003895	KVP08_003900	175	-1	False
519	KVP08_003900	KVP08_003905	195	-1	False
520	KVP08_003910	KVP08_003915	0	1	True
521	KVP08_003915	KVP08_003920	-10	1	True
522	KVP08_003920	KVP08_003925	-3	1	True
523	KVP08_003925	KVP08_003930	10	1	True
524	KVP08_003930	KVP08_003935	52	1	True
525	KVP08_003945	KVP08_003950	114	1	False
526	KVP08_003955	KVP08_003960	107	-1	False
527	KVP08_003965	KVP08_003970	444	1	False
528	KVP08_003980	KVP08_003985	162	1	False
529	KVP08_004005	KVP08_004010	568	1	False
530	KVP08_004010	KVP08_004015	12	1	True
531	KVP08_004015	KVP08_004020	94	1	False
532	KVP08_004020	KVP08_004025	-7	1	True
533	KVP08_004030	KVP08_004035	132	-1	False
534	KVP08_004040	KVP08_004045	129	1	False
535	KVP08_004045	KVP08_004050	134	1	False
536	KVP08_004050	KVP08_004055	192	1	False
537	KVP08_004055	KVP08_004060	141	1	False
538	KVP08_004060	KVP08_004065	241	1	False
539	KVP08_004065	KVP08_004070	167	1	False
540	KVP08_004070	KVP08_004075	-7	1	True
541	KVP08_004080	KVP08_004085	11	-1	True
542	KVP08_004090	KVP08_004095	-7	1	True
543	KVP08_004095	KVP08_004100	85	1	True
544	KVP08_004105	KVP08_004110	134	-1	False
545	KVP08_004110	KVP08_004115	198	-1	False
546	KVP08_004115	KVP08_004120	0	-1	True
547	KVP08_004120	KVP08_004125	258	-1	False
548	KVP08_004130	KVP08_004135	3	1	True
549	KVP08_004145	KVP08_004150	83	1	True
550	KVP08_004150	KVP08_004155	152	1	False
551	KVP08_004155	KVP08_004160	93	1	False
552	KVP08_004160	KVP08_004165	39	1	True
553	KVP08_004165	KVP08_004170	14	1	True
554	KVP08_004175	KVP08_004180	238	-1	False
555	KVP08_004180	KVP08_004185	342	-1	False
556	KVP08_004185	KVP08_004190	90	-1	True
557	KVP08_004195	KVP08_004200	249	1	False
558	KVP08_004205	KVP08_004210	68	-1	True
559	KVP08_004210	KVP08_004215	246	-1	False
560	KVP08_004220	KVP08_004225	-3	1	True
561	KVP08_004225	KVP08_004230	62	1	True
562	KVP08_004235	KVP08_004240	99	-1	False
563	KVP08_004240	KVP08_004245	227	-1	False
564	KVP08_004250	KVP08_004255	81	1	True
565	KVP08_004255	KVP08_004260	180	1	False
566	KVP08_004265	KVP08_004270	12	-1	True
567	KVP08_004270	KVP08_004275	-3	-1	True
568	KVP08_004275	KVP08_004280	-10	-1	True
